time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-25T10:27:12.275Z,37.9956,34.0185,16.992,5.3,mww,99,55,1.672,0.76,us,us6000jriw,2023-02-25T16:44:58.756Z,"19 km ENE of Emirgazi, Turkey",earthquake,4.79,3.96,0.046,46,reviewed,us,us
2023-02-20T17:07:35.745Z,36.1491,35.9086,10,5.5,mb,37,88,1.462,0.97,us,us6000jqjc,2023-02-21T19:41:02.691Z,"Central Turkey",earthquake,5.55,1.871,0.128,21,reviewed,us,us
2023-02-20T17:04:29.441Z,36.1094,36.0165,16,6.3,mww,140,26,1.43,1.18,us,us6000jqcn,2023-02-25T09:18:12.526Z,"3 km SSW of Uzunba?, Turkey",earthquake,5.41,1.504,0.031,97,reviewed,us,us
2023-02-18T19:31:31.398Z,38.0511,36.6002,10.148,5,mww,138,28,0.383,0.75,us,us6000jpyq,2023-02-18T21:30:17.290Z,"9 km ENE of Göksun, Turkey",earthquake,5.24,4.016,0.058,29,reviewed,us,us
2023-02-16T19:47:49.669Z,36.1722,35.7977,10,5.2,mww,145,59,1.472,0.89,us,us6000jpff,2023-02-24T18:45:21.749Z,"21 km W of Uzunba?, Turkey",earthquake,4.02,1.769,0.052,35,reviewed,us,us
2023-02-08T14:20:25.727Z,37.9629,37.458,5.867,5.1,mww,143,55,0.814,0.88,us,us6000jmh3,2023-02-09T22:18:31.040Z,"1 km E of Nurhak, Turkey",earthquake,4.44,3.81,0.083,14,reviewed,us,us
2023-02-08T11:11:52.872Z,37.9368,37.6607,8.988,5.4,mww,155,44,0.741,0.65,us,us6000jmgf,2023-02-22T12:40:43.828Z,"Central Turkey",earthquake,4.7,3.607,0.053,34,reviewed,us,us
2023-02-07T21:21:25.795Z,37.924,37.5023,3.744,5,mb,136,45,0.635,0.64,us,us6000jmc7,2023-02-19T02:10:17.801Z,"6 km SE of Nurhak, Turkey",earthquake,2.5,3.911,0.056,102,reviewed,us,us
2023-02-07T18:10:00.474Z,37.9568,36.5992,21.625,5.3,mww,163,29,0.921,0.7,us,us6000jmat,2023-02-09T21:35:46.415Z,"11 km SE of Göksun, Turkey",earthquake,5.04,4.467,0.093,11,reviewed,us,us
2023-02-07T15:48:54.123Z,37.9939,36.4771,11.132,5,mww,138,22,0.415,0.61,us,us6000jm96,2023-02-20T14:54:26.655Z,"3 km SSW of Göksun, Turkey",earthquake,5.2,3.312,0.062,25,reviewed,us,us
